                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.4721,                 1.6043,                 1.9639,                0.55945,                0.80378,                0.78969,                0.56056,                 1.1903,                 1.2866,                 1.7541,             0.00029713,             0.00029713,             0.00029713
                     79,                 1.4589,                 1.6609,                 1.9593,                0.62142,                0.77886,                0.81732,                0.55795,                 1.1556,                 1.2289,                 1.7424,             0.00028475,             0.00028475,             0.00028475
                     80,                 1.4417,                 1.6016,                 1.9936,                0.62286,                 0.7294,                0.80621,                0.52654,                 1.1773,                 1.2246,                 1.7733,             0.00027237,             0.00027237,             0.00027237
                     81,                 1.4258,                 1.5895,                 1.9654,                0.65089,                0.71744,                0.82054,                0.55446,                 1.1893,                 1.2183,                 1.7616,                0.00026,                0.00026,                0.00026
                     82,                 1.4294,                 1.6385,                 1.9489,                0.69673,                0.72906,                0.83346,                0.57508,                 1.1944,                 1.2017,                 1.7442,             0.00024762,             0.00024762,             0.00024762
                     83,                 1.3984,                 1.5659,                 1.9035,                0.67252,                0.83334,                0.83949,                 0.5772,                 1.1817,                  1.182,                 1.7535,             0.00023525,             0.00023525,             0.00023525
                     84,                 1.3945,                 1.5549,                 1.9257,                0.71583,                0.80433,                0.82521,                0.58843,                 1.1281,                 1.1309,                 1.7336,             0.00022288,             0.00022288,             0.00022288
                     85,                 1.3871,                 1.5185,                 1.9224,                0.64433,                0.81426,                0.80641,                0.58538,                 1.1672,                 1.1492,                 1.7595,              0.0002105,              0.0002105,              0.0002105
                     86,                 1.4072,                 1.5444,                 1.9256,                0.70155,                0.82196,                0.85508,                0.62329,                 1.0896,                 1.1332,                 1.7165,             0.00019813,             0.00019813,             0.00019813
                     87,                 1.3967,                 1.5369,                 1.9103,                0.70043,                0.80983,                0.84049,                0.60233,                 1.1004,                 1.1389,                 1.7148,             0.00018575,             0.00018575,             0.00018575
                     88,                 1.3379,                 1.4772,                 1.8795,                0.69903,                0.72693,                0.83935,                0.59402,                  1.119,                  1.165,                 1.7268,             0.00017338,             0.00017338,             0.00017338
                     89,                 1.4045,                  1.491,                  1.919,                 0.7889,                0.77912,                0.86014,                0.59026,                 1.1386,                 1.1254,                 1.7214,               0.000161,               0.000161,               0.000161
                     90,                 1.3168,                 1.5601,                 1.8373,                0.81716,                0.77571,                 0.8581,                0.62327,                 1.0977,                 1.1055,                 1.6935,             0.00014862,             0.00014862,             0.00014862
                     91,                  1.218,                 1.4051,                 1.7961,                0.82097,                0.77916,                 0.8645,                0.59056,                 1.3175,                 1.2118,                 1.8741,             0.00013625,             0.00013625,             0.00013625
                     92,                 1.2143,                 1.3504,                 1.8377,                0.78585,                0.70364,                0.85335,                0.59955,                 1.2365,                 1.1887,                 1.8148,             0.00012387,             0.00012387,             0.00012387
                     93,                 1.2185,                 1.2969,                 1.8136,                0.77379,                0.80229,                0.88548,                0.64658,                 1.0977,                 1.1431,                 1.7043,              0.0001115,              0.0001115,              0.0001115
                     94,                 1.1824,                 1.2081,                 1.7546,                0.77006,                0.83284,                0.89908,                0.66338,                 1.0555,                 1.1186,                 1.6629,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                 1.2049,                  1.237,                  1.792,                0.74132,                 0.8651,                0.89874,                0.65333,                 1.0896,                 1.0928,                 1.6625,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                 1.1271,                  1.186,                 1.7168,                0.79713,                0.85726,                0.90889,                0.67831,                 1.0433,                 1.0606,                 1.6342,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                  1.124,                 1.1471,                 1.6998,                0.83397,                0.85885,                0.91246,                0.67828,                 1.0061,                 1.0294,                  1.618,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                 1.1071,                 1.1209,                 1.6784,                0.83949,                0.86881,                0.91489,                 0.6827,                0.99878,                  1.014,                  1.612,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                 1.1393,                 1.1379,                 1.7333,                0.85787,                0.86603,                0.91484,                0.68537,                0.98135,                0.99326,                 1.5968,              3.725e-05,              3.725e-05,              3.725e-05
